,run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
212,load-3,Mongodb,workload i,100000,100K,OVERALL,Throughput(ops/sec),1.1980065171554537,RunTime(ms),83.472
213,load-4,Mongodb,workload i,100000,100K,OVERALL,Throughput(ops/sec),1.1265701571565367,RunTime(ms),88.765
214,load-5,Mongodb,workload i,100000,100K,OVERALL,Throughput(ops/sec),1.1150633913537984,RunTime(ms),89.681
215,load-6,Mongodb,workload i,100000,100K,OVERALL,Throughput(ops/sec),1.3602296067576207,RunTime(ms),73.517
216,load-7,Mongodb,workload i,100000,100K,OVERALL,Throughput(ops/sec),1.2415111673929506,RunTime(ms),80.547
217,load-8,Mongodb,workload i,100000,100K,OVERALL,Throughput(ops/sec),1.0463534581981795,RunTime(ms),95.57
218,load-9,Mongodb,workload i,100000,100K,OVERALL,Throughput(ops/sec),1.3168810988055886,RunTime(ms),75.937
239,load-1,Mongodb,workload i,1000000,1M,OVERALL,Throughput(ops/sec),1.1502436791234223,RunTime(ms),869.381
240,load-10,Mongodb,workload i,1000000,1M,OVERALL,Throughput(ops/sec),1.4074318028919905,RunTime(ms),710.514
241,load-2,Mongodb,workload i,1000000,1M,OVERALL,Throughput(ops/sec),1.351119470036899,RunTime(ms),740.127
242,load-3,Mongodb,workload i,1000000,1M,OVERALL,Throughput(ops/sec),1.1152524150791048,RunTime(ms),896.658
243,load-4,Mongodb,workload i,1000000,1M,OVERALL,Throughput(ops/sec),1.0949916178391654,RunTime(ms),913.249
244,load-5,Mongodb,workload i,1000000,1M,OVERALL,Throughput(ops/sec),1.1814716883939314,RunTime(ms),846.402
245,load-6,Mongodb,workload i,1000000,1M,OVERALL,Throughput(ops/sec),1.3187392852433075,RunTime(ms),758.3
246,load-7,Mongodb,workload i,1000000,1M,OVERALL,Throughput(ops/sec),1.2708337304688742,RunTime(ms),786.885
247,load-8,Mongodb,workload i,1000000,1M,OVERALL,Throughput(ops/sec),1.2670481326244618,RunTime(ms),789.236
248,load-9,Mongodb,workload i,1000000,1M,OVERALL,Throughput(ops/sec),1.3449953395911485,RunTime(ms),143.497
0,run-9,Mongodb,workloada-checkpoin t,1000000,1M,OVERALL,Throughput(ops/sec),1.2352694122588135,RunTime(ms),1809.54
