,run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
47,run-6,Mongodb,workload b,1000000,1M,OVERALL,Throughput(ops/sec),2.453764934226831,RunTime(ms),407.537
48,run-7,Mongodb,workload b,1000000,1M,OVERALL,Throughput(ops/sec),2.4663406164371735,RunTime(ms),405.459
49,run-8,Mongodb,workload b,1000000,1M,OVERALL,Throughput(ops/sec),2.352321270629857,RunTime(ms),425.112
50,run-9,Mongodb,workload b,1000000,1M,OVERALL,Throughput(ops/sec),2.128008205599641,RunTime(ms),469.923
51,run-1,Mongodb,workload c,100,100,OVERALL,Throughput(ops/sec),0.06027727546714888,RunTime(ms),1.659
52,run-10,Mongodb,workload c,100,100,OVERALL,Throughput(ops/sec),0.06743088334457181,RunTime(ms),1.483
53,run-2,Mongodb,workload c,100,100,OVERALL,Throughput(ops/sec),0.05040322580645162,RunTime(ms),1.984
54,run-3,Mongodb,workload c,100,100,OVERALL,Throughput(ops/sec),0.06489292667099286,RunTime(ms),1.541
55,run-4,Mongodb,workload c,100,100,OVERALL,Throughput(ops/sec),0.0707714083510262,RunTime(ms),1.413
56,run-5,Mongodb,workload c,100,100,OVERALL,Throughput(ops/sec),0.06561679790026247,RunTime(ms),1.524
57,run-6,Mongodb,workload c,100,100,OVERALL,Throughput(ops/sec),0.06222775357809583,RunTime(ms),1.607
58,run-7,Mongodb,workload c,100,100,OVERALL,Throughput(ops/sec),0.06418485237483953,RunTime(ms),1.558
59,run-8,Mongodb,workload c,100,100,OVERALL,Throughput(ops/sec),0.05717552887364208,RunTime(ms),1.749
60,run-9,Mongodb,workload c,100,100,OVERALL,Throughput(ops/sec),0.0704225352112676,RunTime(ms),1.42
81,run-1,Mongodb,workload c,1000,1k,OVERALL,Throughput(ops/sec),0.7052186177715091,RunTime(ms),1.418
82,run-10,Mongodb,workload c,1000,1k,OVERALL,Throughput(ops/sec),0.6596306068601582,RunTime(ms),1.516
83,run-2,Mongodb,workload c,1000,1k,OVERALL,Throughput(ops/sec),0.6265664160401002,RunTime(ms),1.596
84,run-3,Mongodb,workload c,1000,1k,OVERALL,Throughput(ops/sec),0.3473428273706148,RunTime(ms),2.879
85,run-4,Mongodb,workload c,1000,1k,OVERALL,Throughput(ops/sec),0.4662004662004662,RunTime(ms),2.145
86,run-5,Mongodb,workload c,1000,1k,OVERALL,Throughput(ops/sec),0.6188118811881187,RunTime(ms),1.616
87,run-6,Mongodb,workload c,1000,1k,OVERALL,Throughput(ops/sec),0.5934718100890207,RunTime(ms),1.685
88,run-7,Mongodb,workload c,1000,1k,OVERALL,Throughput(ops/sec),0.3677822728944465,RunTime(ms),2.719
